Date,Tray,SeedID,Geno_Cross,Total_Area(cm),germ_date
2/10/2016,3,2C51,C - Ws/Ler,3.113,1/26/2016
2/10/2016,3,2G61,G - Ler/Col,3.932,1/26/2016
2/12/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/12/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/12/2016,3,2C31,C - Ws/Ler,4.014,1/26/2016
2/12/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/12/2016,3,2A41,A - Ws/Col,3.529,1/26/2016
2/12/2016,3,2A61,A - Ws/Col,4.377,1/26/2016
2/12/2016,3,2G31,G - Ler/Col,4.019,1/26/2016
2/12/2016,3,2F41,F - Col/Ler,2.102,1/26/2016
2/12/2016,3,2B31,B - Col/ Ws,0.445,1/26/2016
2/12/2016,3,2C11,C - Ws/Ler,1.308,1/26/2016
2/12/2016,3,2F11,F - Col/Ler,1.598,1/26/2016
2/12/2016,3,2F51,F - Col/Ler,3.146,1/26/2016
2/12/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/12/2016,3,2C41,C - Ws/Ler,5.288,1/26/2016
2/12/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/12/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/12/2016,3,2G11,G - Ler/Col,4.782,1/26/2016
2/12/2016,3,2A31,A - Ws/Col,5.074,1/26/2016
2/12/2016,3,2F61,F - Col/Ler,4.008,1/26/2016
2/12/2016,3,2B21,B - Col/ Ws,3.797,1/26/2016
2/12/2016,3,2D41,D - Ler/ Ws,1.029,1/26/2016
2/12/2016,3,2D51,D - Ler/ Ws,1.276,1/26/2016
2/12/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/12/2016,3,2G51,G - Ler/Col,4.494,1/26/2016
2/12/2016,3,2B41,B - Col/ Ws,3.799,1/26/2016
2/12/2016,3,2F21,F - Col/Ler,4.356,1/26/2016
2/12/2016,3,2G41,G - Ler/Col,3.997,1/26/2016
2/12/2016,3,2B11,B - Col/ Ws,4.623,1/26/2016
2/12/2016,3,2F31,F - Col/Ler,4.68,1/26/2016
2/12/2016,3,2C21,C - Ws/Ler,4.874,1/26/2016
2/12/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/12/2016,3,2C61,C - Ws/Ler,5.744,1/26/2016
2/12/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/12/2016,3,2B51,B - Col/ Ws,4.437,1/26/2016
2/12/2016,3,2C51,C - Ws/Ler,4.113,1/26/2016
2/12/2016,3,2G61,G - Ler/Col,4.818,1/26/2016
2/14/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/14/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/14/2016,3,2C31,C - Ws/Ler,6.458,1/26/2016
2/14/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/14/2016,3,2A41,A - Ws/Col,4.166,1/26/2016
2/14/2016,3,2A61,A - Ws/Col,6.255,1/26/2016
2/14/2016,3,2G31,G - Ler/Col,5.386,1/26/2016
2/14/2016,3,2F41,F - Col/Ler,2.672,1/26/2016
2/14/2016,3,2B31,B - Col/ Ws,0.755,1/26/2016
2/14/2016,3,2C11,C - Ws/Ler,2.11,1/26/2016
2/14/2016,3,2F11,F - Col/Ler,2.309,1/26/2016
2/14/2016,3,2F51,F - Col/Ler,4.625,1/26/2016
2/14/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/14/2016,3,2C41,C - Ws/Ler,7.411,1/26/2016
2/14/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/14/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/14/2016,3,2G11,G - Ler/Col,6.279,1/26/2016
2/14/2016,3,2A31,A - Ws/Col,7.08,1/26/2016
2/14/2016,3,2F61,F - Col/Ler,5.46,1/26/2016
2/14/2016,3,2B21,B - Col/ Ws,6.318,1/26/2016
2/14/2016,3,2D41,D - Ler/ Ws,1.724,1/26/2016
2/14/2016,3,2D51,D - Ler/ Ws,2.004,1/26/2016
2/14/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/14/2016,3,2G51,G - Ler/Col,6.719,1/26/2016
2/14/2016,3,2B41,B - Col/ Ws,5.975,1/26/2016
2/14/2016,3,2F21,F - Col/Ler,6.776,1/26/2016
2/14/2016,3,2G41,G - Ler/Col,6.159,1/26/2016
2/14/2016,3,2B11,B - Col/ Ws,7.176,1/26/2016
2/14/2016,3,2F31,F - Col/Ler,6.674,1/26/2016
2/14/2016,3,2C21,C - Ws/Ler,7.405,1/26/2016
2/14/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/14/2016,3,2C61,C - Ws/Ler,8.448,1/26/2016
2/14/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/14/2016,3,2B51,B - Col/ Ws,6.469,1/26/2016
2/14/2016,3,2C51,C - Ws/Ler,6.095,1/26/2016
2/14/2016,3,2G61,G - Ler/Col,6.845,1/26/2016
2/16/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/16/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/16/2016,3,2C31,C - Ws/Ler,8.56,1/26/2016
